"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"HMI<->PLC_Real{0}";"25/09/2026 15:04:17";1247;1;46290627969,8032
"Tlm_Bil21_Eu";"25/09/2026 15:04:18";443,8;1;46290627981,4468
"Tlm_Dos8_Eu";"25/09/2026 15:04:18";3313,5;1;46290627981,4468
"HMI<->PLC_Real{0}";"25/09/2026 15:04:18";1247;1;46290627981,4468
"Tlm_Bil21_Eu";"25/09/2026 15:04:19";498,5;1;46290627993,0903
"Tlm_Dos8_Eu";"25/09/2026 15:04:19";3268;1;46290627993,0903
"HMI<->PLC_Real{0}";"25/09/2026 15:04:19";1247;1;46290627993,0903
"Tlm_Bil21_Eu";"25/09/2026 15:04:20";567,2;1;46290628004,7338
"Tlm_Dos8_Eu";"25/09/2026 15:04:20";3251,5;1;46290628004,7338
"HMI<->PLC_Real{0}";"25/09/2026 15:04:20";1247;1;46290628004,7338
"Tlm_Bil21_Eu";"25/09/2026 15:04:21";638,1;1;46290628016,3657
"Tlm_Dos8_Eu";"25/09/2026 15:04:21";3218,2;1;46290628016,3657
"HMI<->PLC_Real{0}";"25/09/2026 15:04:21";1247;1;46290628016,3657
"Tlm_Bil21_Eu";"25/09/2026 15:04:22";705,5;1;46290628028,0093
"Tlm_Dos8_Eu";"25/09/2026 15:04:22";3128,1;1;46290628028,0093
"HMI<->PLC_Real{0}";"25/09/2026 15:04:22";1247;1;46290628028,0093
"Tlm_Bil21_Eu";"25/09/2026 15:04:23";767,7;1;46290628039,6296
"Tlm_Dos8_Eu";"25/09/2026 15:04:23";3038,7;1;46290628039,6296
"HMI<->PLC_Real{0}";"25/09/2026 15:04:23";1247;1;46290628039,6296
"Tlm_Bil21_Eu";"25/09/2026 15:04:24";856,8;1;46290628051,2731
"Tlm_Dos8_Eu";"25/09/2026 15:04:24";2907,1;1;46290628051,2731
"HMI<->PLC_Real{0}";"25/09/2026 15:04:24";1247;1;46290628051,2731
"Tlm_Bil21_Eu";"25/09/2026 15:04:25";934,7;1;46290628062,8935
"Tlm_Dos8_Eu";"25/09/2026 15:04:25";2827,7;1;46290628062,8935
"HMI<->PLC_Real{0}";"25/09/2026 15:04:25";1247;1;46290628062,8935
"Tlm_Bil21_Eu";"25/09/2026 15:04:26";1006,4;1;46290628074,5255
"Tlm_Dos8_Eu";"25/09/2026 15:04:26";2761;1;46290628074,5255
"HMI<->PLC_Real{0}";"25/09/2026 15:04:26";1247;1;46290628074,5255
"Tlm_Bil21_Eu";"25/09/2026 15:04:27";1041,8;1;46290628086,1574
"Tlm_Dos8_Eu";"25/09/2026 15:04:27";2722;1;46290628086,1574
"HMI<->PLC_Real{0}";"25/09/2026 15:04:27";1247;1;46290628086,1574
"Tlm_Bil21_Eu";"25/09/2026 15:04:28";1071,3;1;46290628097,7778
"Tlm_Dos8_Eu";"25/09/2026 15:04:28";2752,2;1;46290628097,7778
"HMI<->PLC_Real{0}";"25/09/2026 15:04:28";1247;1;46290628097,7778
"Tlm_Bil21_Eu";"25/09/2026 15:04:29";1083,8;1;46290628109,4097
"Tlm_Dos8_Eu";"25/09/2026 15:04:29";2734,8;1;46290628109,4097
"HMI<->PLC_Real{0}";"25/09/2026 15:04:29";1247;1;46290628109,4097
"Tlm_Bil21_Eu";"25/09/2026 15:04:30";1103,5;1;46290628121,0301
"Tlm_Dos8_Eu";"25/09/2026 15:04:30";2717,7;1;46290628121,0301
"HMI<->PLC_Real{0}";"25/09/2026 15:04:30";1247;1;46290628121,0301
"Tlm_Bil21_Eu";"25/09/2026 15:04:31";1115,8;1;46290628132,6736
"Tlm_Dos8_Eu";"25/09/2026 15:04:31";2701,9;1;46290628132,6736
"HMI<->PLC_Real{0}";"25/09/2026 15:04:31";1247;1;46290628132,6736
"Tlm_Bil21_Eu";"25/09/2026 15:04:32";1129,2;1;46290628144,3056
"Tlm_Dos8_Eu";"25/09/2026 15:04:32";2689,1;1;46290628144,3056
"HMI<->PLC_Real{0}";"25/09/2026 15:04:32";1247;1;46290628144,3056
"Tlm_Bil21_Eu";"25/09/2026 15:04:33";1162,6;1;46290628155,9606
"Tlm_Dos8_Eu";"25/09/2026 15:04:33";2654,3;1;46290628155,9606
"HMI<->PLC_Real{0}";"25/09/2026 15:04:33";1247;1;46290628155,9606
"Tlm_Bil21_Eu";"25/09/2026 15:04:34";1172,7;1;46290628167,5694
"Tlm_Dos8_Eu";"25/09/2026 15:04:34";2644,8;1;46290628167,5694
"HMI<->PLC_Real{0}";"25/09/2026 15:04:34";1247;1;46290628167,5694
"Tlm_Bil21_Eu";"25/09/2026 15:04:35";1188;1;46290628179,1898
"Tlm_Dos8_Eu";"25/09/2026 15:04:35";2621,8;1;46290628179,1898
"HMI<->PLC_Real{0}";"25/09/2026 15:04:35";1247;1;46290628179,1898
"Tlm_Bil21_Eu";"25/09/2026 15:04:36";1211,6;1;46290628190,8333
"Tlm_Dos8_Eu";"25/09/2026 15:04:36";2602,7;1;46290628190,8333
"HMI<->PLC_Real{0}";"25/09/2026 15:04:36";1247;1;46290628190,8333
"Tlm_Bil21_Eu";"25/09/2026 15:04:37";1234;1;46290628202,4421
"Tlm_Dos8_Eu";"25/09/2026 15:04:37";2573,9;1;46290628202,4421
"HMI<->PLC_Real{0}";"25/09/2026 15:04:37";1247;1;46290628202,4421
"Tlm_Bil21_Eu";"25/09/2026 15:04:38";1240,8;1;46290628214,0856
"Tlm_Dos8_Eu";"25/09/2026 15:04:38";2570,7;1;46290628214,0856
"HMI<->PLC_Real{0}";"25/09/2026 15:04:38";1247;1;46290628214,0856
"Tlm_Bil21_Eu";"25/09/2026 15:04:39";1240,8;1;46290628225,7176
"Tlm_Dos8_Eu";"25/09/2026 15:04:39";2578,7;1;46290628225,7176
"HMI<->PLC_Real{0}";"25/09/2026 15:04:39";1247;1;46290628225,7176
"Bil21_Wrk_DosaggioInCorso";"25/09/2026 15:04:39";0;1;46290628228,6343
"Tlm_Bil21_Eu";"25/09/2026 15:05:01";-0,1;1;46290628487,4537
"Tlm_Dos8_Eu";"25/09/2026 15:05:01";3884,8;1;46290628487,4537
"HMI<->PLC_Real{0}";"25/09/2026 15:05:01";1247;1;46290628487,4537
"Tlm_Bil21_Eu";"25/09/2026 15:05:02";2,5;1;46290628499,0856
"Tlm_Dos8_Eu";"25/09/2026 15:05:02";3864,4;1;46290628499,0856
"HMI<->PLC_Real{0}";"25/09/2026 15:05:02";1247;1;46290628499,0856
"Tlm_Bil21_Eu";"25/09/2026 15:05:03";73,5;1;46290628510,6944
"Tlm_Dos8_Eu";"25/09/2026 15:05:03";3889,8;1;46290628510,6944
"HMI<->PLC_Real{0}";"25/09/2026 15:05:03";1247;1;46290628510,6944
"Tlm_Bil21_Eu";"25/09/2026 15:05:04";163,3;1;46290628522,3264
"Tlm_Dos8_Eu";"25/09/2026 15:05:04";3691,5;1;46290628522,3264
"HMI<->PLC_Real{0}";"25/09/2026 15:05:04";1247;1;46290628522,3264
"Tlm_Bil21_Eu";"25/09/2026 15:05:05";227,1;1;46290628533,9699
"Tlm_Dos8_Eu";"25/09/2026 15:05:05";3589,3;1;46290628533,9699
"HMI<->PLC_Real{0}";"25/09/2026 15:05:05";1247;1;46290628533,9699
"Tlm_Bil21_Eu";"25/09/2026 15:05:06";318,2;1;46290628545,5903
"Tlm_Dos8_Eu";"25/09/2026 15:05:06";3580,5;1;46290628545,5903
"HMI<->PLC_Real{0}";"25/09/2026 15:05:06";1247;1;46290628545,5903
"Tlm_Bil21_Eu";"25/09/2026 15:05:07";388,8;1;46290628557,1991
"Tlm_Dos8_Eu";"25/09/2026 15:05:07";3430,7;1;46290628557,1991
"HMI<->PLC_Real{0}";"25/09/2026 15:05:07";1247;1;46290628557,1991
"Tlm_Bil21_Eu";"25/09/2026 15:05:08";464,4;1;46290628568,831
"Tlm_Dos8_Eu";"25/09/2026 15:05:08";3379,7;1;46290628568,831
"HMI<->PLC_Real{0}";"25/09/2026 15:05:08";1247;1;46290628568,831
"Tlm_Bil21_Eu";"25/09/2026 15:05:09";547,1;1;46290628580,463
"Tlm_Dos8_Eu";"25/09/2026 15:05:09";3246,7;1;46290628580,463
"HMI<->PLC_Real{0}";"25/09/2026 15:05:09";1247;1;46290628580,463
"Tlm_Bil21_Eu";"25/09/2026 15:05:10";616,9;1;46290628592,0949
"Tlm_Dos8_Eu";"25/09/2026 15:05:10";3123;1;46290628592,0949
"HMI<->PLC_Real{0}";"25/09/2026 15:05:10";1247;1;46290628592,0949
"Tlm_Bil21_Eu";"25/09/2026 15:05:11";672,6;1;46290628603,7269
"Tlm_Dos8_Eu";"25/09/2026 15:05:11";3157,6;1;46290628603,7269
"HMI<->PLC_Real{0}";"25/09/2026 15:05:11";1247;1;46290628603,7269
"Tlm_Bil21_Eu";"25/09/2026 15:05:12";753,1;1;46290628615,3472
"Tlm_Dos8_Eu";"25/09/2026 15:05:12";2990,3;1;46290628615,3472
"HMI<->PLC_Real{0}";"25/09/2026 15:05:12";1247;1;46290628615,3472
"Tlm_Bil21_Eu";"25/09/2026 15:05:13";805,8;1;46290628626,9792
"Tlm_Dos8_Eu";"25/09/2026 15:05:13";3002,3;1;46290628626,9792
"HMI<->PLC_Real{0}";"25/09/2026 15:05:13";1247;1;46290628626,9792
"Tlm_Bil21_Eu";"25/09/2026 15:05:14";877,6;1;46290628638,5995
"Tlm_Dos8_Eu";"25/09/2026 15:05:14";3012,3;1;46290628638,5995
"HMI<->PLC_Real{0}";"25/09/2026 15:05:14";1247;1;46290628638,5995
"Tlm_Bil21_Eu";"25/09/2026 15:05:15";933,5;1;46290628650,2199
"Tlm_Dos8_Eu";"25/09/2026 15:05:15";2850,1;1;46290628650,2199
"HMI<->PLC_Real{0}";"25/09/2026 15:05:15";1247;1;46290628650,2199
"Tlm_Bil21_Eu";"25/09/2026 15:05:16";978,4;1;46290628661,8403
"Tlm_Dos8_Eu";"25/09/2026 15:05:16";2799,6;1;46290628661,8403
"HMI<->PLC_Real{0}";"25/09/2026 15:05:16";1247;1;46290628661,8403
"Tlm_Bil21_Eu";"25/09/2026 15:05:17";997,1;1;46290628673,4838
"Tlm_Dos8_Eu";"25/09/2026 15:05:17";2775,4;1;46290628673,4838
"HMI<->PLC_Real{0}";"25/09/2026 15:05:17";1247;1;46290628673,4838
"Tlm_Bil21_Eu";"25/09/2026 15:05:18";1024,4;1;46290628685,1157
"Tlm_Dos8_Eu";"25/09/2026 15:05:18";2912,4;1;46290628685,1157
"HMI<->PLC_Real{0}";"25/09/2026 15:05:18";1247;1;46290628685,1157
"Tlm_Bil21_Eu";"25/09/2026 15:05:19";1053,3;1;46290628696,7477
"Tlm_Dos8_Eu";"25/09/2026 15:05:19";2743,4;1;46290628696,7477
"HMI<->PLC_Real{0}";"25/09/2026 15:05:19";1247;1;46290628696,7477
"Tlm_Bil21_Eu";"25/09/2026 15:05:20";1086,5;1;46290628708,3681
"Tlm_Dos8_Eu";"25/09/2026 15:05:20";2724,8;1;46290628708,3681
"HMI<->PLC_Real{0}";"25/09/2026 15:05:20";1247;1;46290628708,3681
"Tlm_Bil21_Eu";"25/09/2026 15:05:21";1103,1;1;46290628720,0116
