"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Tlm_Dos8_Eu";"25/09/2026 16:57:46";2760,2;1;46290706785,3935
"HMI<->PLC_Real{0}";"25/09/2026 16:57:46";1247;1;46290706785,3935
"Tlm_Bil21_Eu";"25/09/2026 16:57:47";214;1;46290706797,7778
"Tlm_Dos8_Eu";"25/09/2026 16:57:47";2577,5;1;46290706797,7778
"HMI<->PLC_Real{0}";"25/09/2026 16:57:47";1247;1;46290706797,7778
"Tlm_Bil21_Eu";"25/09/2026 16:57:48";238,9;1;46290706810,1505
"Tlm_Dos8_Eu";"25/09/2026 16:57:48";2554,3;1;46290706810,1505
"HMI<->PLC_Real{0}";"25/09/2026 16:57:48";1247;1;46290706810,1505
"Tlm_Bil21_Eu";"25/09/2026 16:57:49";265,4;1;46290706822,5
"Tlm_Dos8_Eu";"25/09/2026 16:57:49";2502,1;1;46290706822,5
"HMI<->PLC_Real{0}";"25/09/2026 16:57:49";1247;1;46290706822,5
"Tlm_Bil21_Eu";"25/09/2026 16:57:51";338,8;1;46290706834,8264
"Tlm_Dos8_Eu";"25/09/2026 16:57:51";2376,2;1;46290706834,8264
"HMI<->PLC_Real{0}";"25/09/2026 16:57:51";1247;1;46290706834,8264
"Tlm_Bil21_Eu";"25/09/2026 16:57:52";361,2;1;46290706847,0486
"Tlm_Dos8_Eu";"25/09/2026 16:57:52";2386,9;1;46290706847,0486
"HMI<->PLC_Real{0}";"25/09/2026 16:57:52";1247;1;46290706847,0486
"Tlm_Bil21_Eu";"25/09/2026 16:57:53";373,4;1;46290706858,669
"Tlm_Dos8_Eu";"25/09/2026 16:57:53";2379,5;1;46290706858,669
"HMI<->PLC_Real{0}";"25/09/2026 16:57:53";1247;1;46290706858,669
"Tlm_Bil21_Eu";"25/09/2026 16:57:54";384,8;1;46290706870,2894
"Tlm_Dos8_Eu";"25/09/2026 16:57:54";2384,6;1;46290706870,2894
"HMI<->PLC_Real{0}";"25/09/2026 16:57:54";1247;1;46290706870,2894
"Tlm_Bil21_Eu";"25/09/2026 16:57:55";395,1;1;46290706881,8981
"Tlm_Dos8_Eu";"25/09/2026 16:57:55";2491,1;1;46290706881,8981
"HMI<->PLC_Real{0}";"25/09/2026 16:57:55";1247;1;46290706881,8981
"Tlm_Bil21_Eu";"25/09/2026 16:57:56";406,6;1;46290706893,5069
"Tlm_Dos8_Eu";"25/09/2026 16:57:56";2375,7;1;46290706893,5069
"HMI<->PLC_Real{0}";"25/09/2026 16:57:56";1247;1;46290706893,5069
"Tlm_Bil21_Eu";"25/09/2026 16:57:57";423,3;1;46290706905,3009
"Tlm_Dos8_Eu";"25/09/2026 16:57:57";2248,6;1;46290706905,3009
"HMI<->PLC_Real{0}";"25/09/2026 16:57:57";1247;1;46290706905,3009
"Tlm_Bil21_Eu";"25/09/2026 16:57:58";445,9;1;46290706917,4421
"Tlm_Dos8_Eu";"25/09/2026 16:57:58";2197,7;1;46290706917,4421
"HMI<->PLC_Real{0}";"25/09/2026 16:57:58";1247;1;46290706917,4421
"Tlm_Bil21_Eu";"25/09/2026 16:57:59";467,2;1;46290706929,0741
"Tlm_Dos8_Eu";"25/09/2026 16:57:59";2230,9;1;46290706929,0741
"HMI<->PLC_Real{0}";"25/09/2026 16:57:59";1247;1;46290706929,0741
"Tlm_Bil21_Eu";"25/09/2026 16:58:00";487,4;1;46290706940,706
"Tlm_Dos8_Eu";"25/09/2026 16:58:00";2289,4;1;46290706940,706
"HMI<->PLC_Real{0}";"25/09/2026 16:58:00";1247;1;46290706940,706
"Tlm_Bil21_Eu";"25/09/2026 16:58:01";518,9;1;46290706952,8241
"Tlm_Dos8_Eu";"25/09/2026 16:58:01";2139,2;1;46290706952,8241
"HMI<->PLC_Real{0}";"25/09/2026 16:58:01";1247;1;46290706952,8241
"Tlm_Bil21_Eu";"25/09/2026 16:58:02";540;1;46290706965,6713
"Tlm_Dos8_Eu";"25/09/2026 16:58:02";2095,1;1;46290706965,6713
"HMI<->PLC_Real{0}";"25/09/2026 16:58:02";1247;1;46290706965,6713
"Tlm_Bil21_Eu";"25/09/2026 16:58:03";578,8;1;46290706977,4074
"Tlm_Dos8_Eu";"25/09/2026 16:58:03";2117,5;1;46290706977,4074
"HMI<->PLC_Real{0}";"25/09/2026 16:58:03";1247;1;46290706977,4074
"Tlm_Bil21_Eu";"25/09/2026 16:58:04";609,3;1;46290706989,0278
"Tlm_Dos8_Eu";"25/09/2026 16:58:04";2321,7;1;46290706989,0278
"HMI<->PLC_Real{0}";"25/09/2026 16:58:04";1247;1;46290706989,0278
"Tlm_Bil21_Eu";"25/09/2026 16:58:05";652;1;46290707000,6597
"Tlm_Dos8_Eu";"25/09/2026 16:58:05";2136,9;1;46290707000,6597
"HMI<->PLC_Real{0}";"25/09/2026 16:58:05";1247;1;46290707000,6597
"Tlm_Bil21_Eu";"25/09/2026 16:58:06";679,8;1;46290707012,2685
"Tlm_Dos8_Eu";"25/09/2026 16:58:06";2131,9;1;46290707012,2685
"HMI<->PLC_Real{0}";"25/09/2026 16:58:06";1247;1;46290707012,2685
"Tlm_Bil21_Eu";"25/09/2026 16:58:07";707,9;1;46290707023,8889
"Tlm_Dos8_Eu";"25/09/2026 16:58:07";1956,4;1;46290707023,8889
"HMI<->PLC_Real{0}";"25/09/2026 16:58:07";1247;1;46290707023,8889
"Tlm_Bil21_Eu";"25/09/2026 16:58:08";739,5;1;46290707035,5093
"Tlm_Dos8_Eu";"25/09/2026 16:58:08";1880,6;1;46290707035,5093
"HMI<->PLC_Real{0}";"25/09/2026 16:58:08";1247;1;46290707035,5093
"Tlm_Bil21_Eu";"25/09/2026 16:58:09";775,4;1;46290707047,1181
